winpercent, oppwinpercent, weather, temperature, numinjured, oppnuminjured, startingpitcher, oppstartingpitcher, dayssincegame, oppdayssincegame, homeaway, rundifferential, opprundifferential, winner
?,0.835040590931,0,61.9285891321,0.0,0.0,1,4,4.0,3.0,0,46.0,47.0,?
0.631525163523,0.695949481058,0,57.7814365153,2.0,2.0,1,4,3.0,3.0,1,87.0,38.0,?
0.463093761491,0.758485854627,-1,?,2.0,2.0,1,?,3.0,2.0,0,39.0,55.0,?
0.719956621191,0.32803191027,-1,55.9828201863,1.0,2.0,4,2,1.0,2.0,1,64.0,48.0,?
0.335459911165,0.372360254623,0,78.1332309587,3.0,3.0,3,3,3.0,2.0,1,48.0,33.0,?
0.243791063362,0.46096894137,0,63.7922326888,2.0,1.0,1,5,3.0,3.0,1,49.0,10.0,?
0.475528617333,0.386411773238,0,67.4833377623,2.0,2.0,4,5,4.0,2.0,0,70.0,52.0,?
0.768855325921,0.632248494748,1,79.2584009014,1.0,1.0,5,5,1.0,?,0,43.0,41.0,?
-0.00828301226077,0.566473116534,0,69.8513380729,3.0,2.0,5,?,2.0,3.0,0,49.0,38.0,?
0.603071027234,0.817082547582,0,50.2352199007,1.0,1.0,3,3,1.0,3.0,1,32.0,40.0,?
?,0.314188667418,0,70.835776837,2.0,3.0,1,2,1.0,2.0,0,47.0,59.0,?
0.577316081384,0.759829336762,?,55.1651117354,2.0,2.0,2,5,4.0,5.0,1,56.0,64.0,?
0.535722923783,0.278421783403,-1,60.6113259332,3.0,2.0,4,4,2.0,4.0,0,?,40.0,?
0.61103786045,0.516471011367,-1,67.6066874747,1.0,2.0,3,5,3.0,1.0,0,23.0,52.0,?
0.613107953323,0.534857644689,1,69.4901452159,2.0,?,2,4,5.0,2.0,1,39.0,73.0,?
0.673096420234,?,1,80.90258147,2.0,4.0,?,5,4.0,4.0,1,71.0,47.0,?
0.70524805594,0.791832154683,0,65.0463539019,1.0,2.0,5,3,2.0,3.0,0,55.0,42.0,?
0.642271051644,?,-1,56.7911238914,1.0,0.0,?,2,3.0,?,0,43.0,30.0,?
0.519099156209,0.376200026019,1,60.2738227594,3.0,1.0,3,5,2.0,2.0,1,31.0,31.0,?
0.612965053437,?,0,79.3366605909,4.0,3.0,1,3,3.0,3.0,0,73.0,26.0,?
0.410345783976,0.231389220613,-1,66.3675575472,0.0,0.0,1,1,3.0,4.0,0,?,4.0,?
0.347834318348,0.110576921289,1,56.9719496142,0.0,3.0,5,2,1.0,4.0,1,50.0,60.0,?
0.531040775302,0.615371692818,0,64.8148344898,2.0,-1.0,5,1,2.0,1.0,1,55.0,76.0,?
0.450109134642,0.75722897791,0,71.9581958995,2.0,1.0,4,3,3.0,2.0,1,63.0,51.0,?
0.713909168969,0.386863038473,1,66.9044949745,1.0,3.0,2,4,3.0,2.0,0,?,24.0,?
0.36085381354,0.718195629328,1,59.1004941785,1.0,2.0,3,2,3.0,3.0,1,40.0,52.0,?
0.57163943383,0.41194465617,0,64.1784121115,1.0,2.0,1,3,3.0,3.0,1,54.0,66.0,?
0.259863840412,0.398497463552,0,67.7878246739,1.0,1.0,4,3,2.0,2.0,1,49.0,7.0,?
0.435034594494,0.348013015145,1,77.7560813615,2.0,2.0,1,4,2.0,2.0,0,55.0,38.0,?
