winpercent, oppwinpercent, weather, temperature, numinjured, oppnuminjured, startingpitcher, oppstartingpitcher, dayssincegame, oppdayssincegame, homeaway, rundifferential, opprundifferential, winner
0.92919987075,0.552681233968,0,63.5638707444,2.0,0.0,3,?,2.0,2.0,0,9.0,24.0,0
0.730329207487,0.464852882026,-1,66.8908153161,2.0,1.0,3,4,4.0,2.0,0,45.0,69.0,1
0.218973671481,0.482058448683,0,61.7008220832,0.0,2.0,3,5,3.0,1.0,?,39.0,59.0,0
0.292069794405,?,0,57.5800080947,1.0,-1.0,4,2,2.0,1.0,1,110.0,58.0,1
0.481241910633,0.57551140481,0,69.8030250869,-1.0,3.0,2,3,?,3.0,0,48.0,64.0,0
0.650468761467,0.441285134391,-1,62.7656988281,1.0,1.0,3,2,1.0,2.0,0,36.0,69.0,1
0.512076513726,0.860121747917,0,64.1200080918,?,0.0,2,3,1.0,3.0,1,68.0,10.0,1
0.497319559186,0.312705059616,-1,62.5905843164,?,1.0,4,1,4.0,2.0,0,69.0,18.0,1
0.583894683777,0.541244102957,1,66.1519812295,0.0,2.0,2,5,4.0,?,1,28.0,10.0,1
0.30650858126,0.676906914418,0,53.767292085,2.0,?,3,?,0.0,2.0,0,32.0,48.0,1
0.965139544197,0.267018625193,0,72.5830270446,1.0,2.0,2,1,3.0,4.0,0,71.0,49.0,0
0.620963315096,-0.0331010692616,-1,58.76148093,0.0,2.0,1,?,2.0,1.0,0,40.0,61.0,1
0.624222721466,0.603962003854,-1,70.8133644639,1.0,?,1,5,2.0,2.0,1,17.0,43.0,0
0.661824287017,0.482442288334,-1,74.5487539881,?,2.0,3,3,2.0,3.0,1,33.0,83.0,?
0.241434344042,0.546825787646,1,62.3395452376,?,-1.0,3,?,0.0,1.0,1,51.0,42.0,1
0.814239336178,0.111000402763,1,73.8384508224,3.0,2.0,3,?,0.0,3.0,0,28.0,37.0,0
0.522121042413,0.525029678073,-1,53.325357861,2.0,1.0,2,2,2.0,3.0,0,78.0,50.0,1
0.461473558622,0.363988532459,-1,62.7387734268,0.0,2.0,2,1,3.0,3.0,0,49.0,26.0,0
0.596626102363,0.0906831176535,0,69.6042077604,0.0,-1.0,3,2,3.0,1.0,0,46.0,38.0,0
0.313294136578,0.263637729868,0,?,2.0,2.0,1,2,3.0,4.0,0,23.0,33.0,1
0.437724606531,?,1,?,2.0,1.0,5,2,2.0,3.0,0,48.0,38.0,1
0.721399038027,0.248051990878,1,68.4491144521,0.0,3.0,1,?,1.0,2.0,1,49.0,31.0,0
0.457324271898,0.500156003167,-1,68.5294252667,?,1.0,1,5,3.0,2.0,?,35.0,46.0,1
0.510609741535,0.761634875349,0,76.1719633369,2.0,4.0,5,?,2.0,4.0,1,44.0,47.0,0
0.435410667734,?,0,73.0570046134,2.0,2.0,2,4,3.0,1.0,0,55.0,42.0,1
0.439338184261,0.223218318796,1,62.3903083978,2.0,2.0,3,3,3.0,4.0,1,56.0,47.0,1
0.33261485998,?,-1,50.6316543661,3.0,2.0,2,1,1.0,2.0,1,70.0,58.0,1
0.792064744908,0.206232518939,0,58.3727133005,3.0,3.0,4,2,3.0,2.0,1,74.0,76.0,0
0.715656681023,?,1,65.5988119893,2.0,1.0,4,4,4.0,3.0,1,22.0,-1.0,1
0.148353898615,0.580088649056,1,53.4752823846,0.0,3.0,3,2,3.0,3.0,0,37.0,36.0,0
0.0576343057255,0.741939168009,-1,?,-1.0,-1.0,2,3,2.0,4.0,1,72.0,58.0,1
0.484440340761,0.176171992525,1,69.0885508215,2.0,2.0,2,2,1.0,2.0,1,34.0,40.0,0
0.473555162735,0.0966784456348,0,63.0432786701,0.0,3.0,4,2,2.0,1.0,0,47.0,80.0,0
